step,train_loss,val_loss,elapsed_sec
0,7.029876,7.033141,1.31
100,5.112494,5.202163,13.10
200,4.394605,4.570107,24.43
300,4.230107,4.377925,35.50
400,4.147804,4.309998,47.26
500,4.067477,4.251168,58.82
600,4.018210,4.222741,70.07
700,3.960059,4.173680,81.64
800,3.876438,4.127262,93.26
900,3.782358,4.047488,104.40
1000,3.624774,3.923812,115.65
1100,3.476516,3.804104,127.55
1200,3.386638,3.716188,138.89
1300,3.299609,3.644920,150.10
1400,3.212791,3.619311,161.88
1500,3.147599,3.561614,173.56
1600,3.096806,3.529723,185.08
1700,3.036254,3.502806,196.57
1800,2.980120,3.482332,208.31
1900,2.930785,3.466939,219.64
2000,2.894744,3.461455,230.68
2100,2.859718,3.431812,242.65
2200,2.800886,3.429332,254.41
2300,2.762831,3.439005,265.53
2400,2.719373,3.418045,277.34
2500,2.682675,3.392945,288.94
2600,2.649438,3.410768,300.20
2700,2.612896,3.417099,312.07
2800,2.586504,3.396978,323.57
2900,2.554620,3.405081,334.97
3000,2.497739,3.418753,346.71
3100,2.456074,3.407619,358.30
3200,2.451730,3.389067,369.66
3300,2.401507,3.427993,380.74
3400,2.394031,3.426031,391.83
3500,2.356385,3.436212,402.75
3600,2.334815,3.423303,414.11
3700,2.308687,3.410903,425.24
3800,2.271631,3.456298,437.25
3900,2.232874,3.455439,448.74
4000,2.204625,3.432326,459.92
4100,2.180970,3.457969,471.45
4200,2.152072,3.490322,482.76
4300,2.113075,3.479547,493.62
4400,2.083458,3.504844,504.75
4500,2.040246,3.533038,515.88
4600,2.019406,3.514771,526.77
4700,1.985467,3.517870,537.86
4800,1.943897,3.518838,549.23
4900,1.934401,3.521677,560.54
5000,1.903015,3.573293,572.20
5100,1.863179,3.539271,584.40
5200,1.859459,3.561079,595.78
5300,1.813982,3.578249,607.54
5400,1.788425,3.615905,619.15
5500,1.780211,3.620310,630.14
5600,1.736868,3.617136,642.18
5700,1.709044,3.645765,653.73
5800,1.678823,3.694097,664.85
5900,1.662409,3.642757,676.78
6000,1.648727,3.660722,687.65
6100,1.615909,3.681812,699.06
6200,1.591229,3.688712,710.37
6300,1.572801,3.698154,721.62
6400,1.550320,3.721372,732.59
6500,1.516770,3.697748,744.26
6600,1.514739,3.758195,755.15
6700,1.500243,3.744496,766.02
6800,1.456750,3.746269,776.94
6900,1.432087,3.785546,787.80
7000,1.421270,3.789027,798.84
7100,1.393775,3.829463,810.21
7200,1.368224,3.811970,821.53
7300,1.366446,3.810834,832.52
7400,1.331730,3.830125,843.92
7500,1.303078,3.870805,855.23
7600,1.298338,3.891499,867.25
7700,1.278333,3.884205,878.72
7800,1.263892,3.895798,889.69
7900,1.245022,3.910939,901.20
8000,1.216718,3.907481,912.27
8100,1.202014,3.888308,923.52
8200,1.171445,3.945306,935.03
8300,1.151013,3.931389,946.82
8400,1.153213,3.931333,957.97
8500,1.125196,3.956071,969.23
8600,1.113541,3.971352,980.49
8700,1.080592,4.036933,992.24
8800,1.079485,4.034661,1003.42
8900,1.067963,4.001408,1014.81
9000,1.040626,4.023872,1026.09
9100,1.031191,4.036447,1037.05
9200,1.008616,4.062413,1048.27
9300,0.998678,4.106772,1059.49
9400,0.976600,4.016001,1070.64
9500,0.971631,4.108532,1082.55
9600,0.960433,4.140585,1094.13
9700,0.933302,4.108213,1105.12
9800,0.917425,4.131076,1117.08
9900,0.898409,4.099742,1128.72
9999,0.904884,4.110427,1139.62
